cell_token,level,center_lat,center_lng,id
46404,7,60.60620341910774,9.649085723374403,5062116349908615168
4640c,7,59.87839825797412,9.366203403454865,5062257087396970496
464101,10,60.14745127693162,10.144370490455922,5062328555652775936
464105,10,60.04547926577929,10.252518544877843,5062332953699287040
464113,10,59.93190006930366,10.505315230656063,5062348346862075904
464115,10,59.841520135950674,10.46677092065903,5062350545885331456
46411c,9,59.9152986733865,10.123535338370486,5062358242466725888
46413f,10,59.751187476320275,10.428460070103508,5062396725373698048
464143,10,59.72771041660726,10.717423710188,5062401123420209152
464145,10,59.637553477990565,10.6783378837524,5062403322443464704
46416d,10,59.92012145263589,10.650757746028274,5062447302908575744
46416f,10,59.90816527397509,10.796308525849307,5062449501931831296
4641c,7,60.51439155932102,10.836083609269181,5062538562373681152
4643,6,59.99575299813357,12.443852473824965,5062890406094569472
46444,7,58.97478890868404,11.347941636103894,5063242249815457792
46451,8,58.36350406707802,11.942619748193408,5063470948234035200
46453,8,58.309514867669655,12.500494941475095,5063506132606124032
46459,8,58.05946941127939,11.227425288436253,5063611685722390528
4645a1,10,58.26267625323653,11.53366379176316,5063630377420062720
4645a3,10,58.275225698588585,11.395331576586223,5063632576443318272
4645a7,10,58.3514585153947,11.574265935188613,5063636974489829376
46464,7,58.35227208324712,9.93150834531549,5063805199768879104
4646b,8,59.22664834751249,10.57627514893941,5063928345071190016
4646e1,10,59.06276874316696,9.709420324647116,5063982221140951040
4646e3,10,58.9727174981638,9.674571469049047,5063984420164206592
4646e7,10,59.05211790281634,9.849541364978226,5063988818210717696
4646e9,10,59.04129987443346,9.989782732445498,5063991017233973248
4646eb,10,59.03031419267375,10.130142286192765,5063993216257228800
46471,8,58.953400412171256,9.30927447527482,5064033898187456512
46473,8,59.3143891868357,9.444641291280067,5064069082559545344
46475,8,59.354219475209156,8.881798149199179,5064104266931634176
464791,10,58.581781811096455,8.682511684294193,5064175735187439616
464795,10,58.48245978779952,8.787701693448223,5064180133233950720
4647b,8,58.593316324380375,9.177091355104388,5064209820047900672
4647d,8,58.23417941464566,9.047986458403065,5064245004419989504
4647f,8,58.27148568936525,8.508042646909782,5064280188792078336
46484,7,57.71569868829044,8.595084126291075,5064368149722300416
4648b,8,57.79559286675607,9.99334539846864,5064491295024611328
4648d,8,57.44019513431681,9.855856239649526,5064526479396700160
464909,10,57.095448668113576,8.987904696874244,5064589151559483392
46490b,10,57.0067662359593,8.957225241470296,5064591350582738944
46490d,10,56.99736387286597,9.086870828121189,5064593549605994496
46490f,10,57.08599543079702,9.117979376601664,5064595748629250048
464914,9,57.027250513153504,9.297431485138102,5064601246187388928
46491c,9,57.20449402597782,9.361294176055228,5064610042280411136
464924,9,57.184529682310085,9.623490640214623,5064618838373433344
46492c,9,57.16395827229776,9.886170581128935,5064627634466455552
464931,10,57.03648456342942,9.770228878274413,5064633132024594432
464933,10,57.026130406845326,9.901041789484802,5064635331047849984
464939,10,56.95826718106146,9.60671206454805,5064641928117616640
46493d,10,57.056739600597865,9.508960811413486,5064646326164127744
46493f,10,56.9682653169841,9.476566362547292,5064648525187383296
46495,8,56.732526891311146,9.590043696813401,5064667216885055488
464964,9,56.67358830702267,9.171838983627064,5064689207117611008
46496d,10,56.89930210558654,9.185283440624184,5064699102722260992
464973,10,56.90880140055422,9.055936870631026,5064705699792027648
464975,10,56.91815318263891,8.92671811731842,5064707898815283200
464977,10,56.82961009940187,8.896381952753678,5064710097838538752
46497c,9,56.692332825373136,8.915259872408363,5064715595396677632
464984,9,56.71049581247576,8.65919730397223,5064724391489699840
464989,10,56.67947461034385,8.453148942382278,5064729889047838720
46498b,10,56.688099945984646,8.325727249386826,5064732088071094272
46498d,10,56.77669262540986,8.354043372717236,5064734287094349824
46498f,10,56.76802059724119,8.481885816488134,5064736486117605376
464991,10,56.856638562828365,8.510784272392682,5064738685140860928
464993,10,56.865357554654985,8.382518838938495,5064740884164116480
464995,10,56.95409415773343,8.41115492678311,5064743083187372032
464997,10,56.94532792929516,8.539845605216765,5064745282210627584
464999,10,56.93641599518517,8.668670807715698,5064747481233883136
46499d,10,56.83876528975006,8.767717482302485,5064751879280394240
46499f,10,56.927357897579256,8.797628869391543,5064754078303649792
4649a1,10,57.01602076264946,8.827708965160749,5064756277326905344
4649a3,10,57.025127903955195,8.698323696199838,5064758476350160896
4649a5,10,57.113909765592545,8.728144374231652,5064760675373416448
