,cell_token,level,center_lat,center_lng,id,hierarchical_label
0,46404,7,60.60620341910774,9.649085723374403,5062116349908615168,21210001
1,4640c,7,59.87839825797412,9.366203403454865,5062257087396970496,21210003
2,464101,10,60.14745127693162,10.144370490455922,5062328555652775936,21210010001
3,464105,10,60.04547926577929,10.252518544877844,5062332953699287040,21210010011
4,464113,10,59.93190006930366,10.505315230656064,5062348346862075904,21210010103
5,464115,10,59.841520135950674,10.46677092065903,5062350545885331456,21210010111
6,46411c,9,59.9152986733865,10.123535338370486,5062358242466725888,2121001013
7,46413f,10,59.75118747632028,10.428460070103508,5062396725373698048,21210010333
8,464143,10,59.72771041660726,10.717423710188,5062401123420209152,21210011003
9,464145,10,59.637553477990565,10.6783378837524,5062403322443464704,21210011011
10,46416d,10,59.92012145263589,10.650757746028274,5062447302908575744,21210011231
11,46416f,10,59.90816527397509,10.796308525849309,5062449501931831296,21210011233
12,4641c,7,60.51439155932102,10.83608360926918,5062538562373681152,21210013
13,4643,6,59.99575299813357,12.443852473824965,5062890406094569472,2121003
14,46444,7,58.97478890868404,11.347941636103894,5063242249815457792,21210101
15,46451,8,58.36350406707802,11.942619748193408,5063470948234035200,212101101
16,46453,8,58.309514867669655,12.500494941475097,5063506132606124032,212101103
17,46459,8,58.05946941127939,11.227425288436253,5063611685722390528,212101121
18,4645a1,10,58.26267625323653,11.53366379176316,5063630377420062720,21210112201
19,4645a3,10,58.275225698588585,11.395331576586225,5063632576443318272,21210112203
20,4645a7,10,58.3514585153947,11.574265935188611,5063636974489829376,21210112213
21,46464,7,58.35227208324712,9.93150834531549,5063805199768879104,21210121
22,4646b,8,59.22664834751249,10.57627514893941,5063928345071190016,212101223
23,4646e1,10,59.06276874316696,9.709420324647116,5063982221140951040,21210123201
24,4646e3,10,58.9727174981638,9.674571469049049,5063984420164206592,21210123203
25,4646e7,10,59.05211790281634,9.849541364978226,5063988818210717696,21210123213
26,4646e9,10,59.04129987443346,9.989782732445498,5063991017233973248,21210123221
27,4646eb,10,59.03031419267375,10.130142286192765,5063993216257228800,21210123223
28,46471,8,58.953400412171256,9.30927447527482,5064033898187456512,212101301
29,46473,8,59.3143891868357,9.444641291280067,5064069082559545344,212101303
30,46475,8,59.35421947520916,8.881798149199179,5064104266931634176,212101311
31,464791,10,58.581781811096455,8.682511684294193,5064175735187439616,21210132101
32,464795,10,58.48245978779952,8.787701693448223,5064180133233950720,21210132111
33,4647b,8,58.593316324380375,9.177091355104388,5064209820047900672,212101323
34,4647d,8,58.23417941464566,9.047986458403065,5064245004419989504,212101331
35,4647f,8,58.27148568936525,8.508042646909782,5064280188792078336,212101333
36,46484,7,57.71569868829044,8.595084126291075,5064368149722300416,21210201
37,4648b,8,57.79559286675607,9.99334539846864,5064491295024611328,212102023
38,4648d,8,57.44019513431681,9.855856239649526,5064526479396700160,212102031
39,464909,10,57.095448668113576,8.987904696874244,5064589151559483392,21210210021
40,46490b,10,57.0067662359593,8.957225241470296,5064591350582738944,21210210023
41,46490d,10,56.99736387286597,9.086870828121189,5064593549605994496,21210210031
42,46490f,10,57.08599543079702,9.117979376601664,5064595748629250048,21210210033
43,464914,9,57.027250513153504,9.297431485138102,5064601246187388928,2121021011
44,46491c,9,57.20449402597782,9.361294176055228,5064610042280411136,2121021013
45,464924,9,57.184529682310085,9.623490640214625,5064618838373433344,2121021021
46,46492c,9,57.16395827229776,9.886170581128937,5064627634466455552,2121021023
47,464931,10,57.03648456342942,9.770228878274413,5064633132024594432,21210210301
48,464933,10,57.026130406845326,9.901041789484802,5064635331047849984,21210210303
49,464939,10,56.95826718106146,9.60671206454805,5064641928117616640,21210210321
50,46493d,10,57.056739600597865,9.508960811413486,5064646326164127744,21210210331
51,46493f,10,56.9682653169841,9.476566362547292,5064648525187383296,21210210333
52,46495,8,56.732526891311146,9.5900436968134,5064667216885055488,212102111
53,464964,9,56.67358830702267,9.171838983627064,5064689207117611008,2121021121
54,46496d,10,56.89930210558654,9.185283440624184,5064699102722260992,21210211231
55,464973,10,56.90880140055422,9.055936870631026,5064705699792027648,21210211303
56,464975,10,56.91815318263891,8.92671811731842,5064707898815283200,21210211311
57,464977,10,56.82961009940187,8.896381952753678,5064710097838538752,21210211313
58,46497c,9,56.692332825373136,8.915259872408363,5064715595396677632,2121021133
59,464984,9,56.71049581247576,8.65919730397223,5064724391489699840,2121021201
60,464989,10,56.67947461034385,8.453148942382278,5064729889047838720,21210212021
61,46498b,10,56.688099945984646,8.325727249386826,5064732088071094272,21210212023
62,46498d,10,56.77669262540986,8.354043372717236,5064734287094349824,21210212031
63,46498f,10,56.76802059724119,8.481885816488134,5064736486117605376,21210212033
64,464991,10,56.856638562828365,8.510784272392682,5064738685140860928,21210212101
65,464993,10,56.865357554654985,8.382518838938495,5064740884164116480,21210212103
66,464995,10,56.95409415773343,8.41115492678311,5064743083187372032,21210212111
67,464997,10,56.94532792929516,8.539845605216765,5064745282210627584,21210212113
68,464999,10,56.93641599518517,8.668670807715698,5064747481233883136,21210212121
69,46499d,10,56.83876528975006,8.767717482302485,5064751879280394240,21210212131
70,46499f,10,56.927357897579256,8.797628869391543,5064754078303649792,21210212133
71,4649a1,10,57.01602076264946,8.827708965160749,5064756277326905344,21210212201
72,4649a3,10,57.0251279039552,8.698323696199838,5064758476350160896,21210212203
73,4649a5,10,57.11390976559255,8.728144374231652,5064760675373416448,21210212211
74,4649a7,10,57.10475329563892,8.857959124973474,5064762874396672000,21210212213
75,4649b4,9,57.26077994883435,8.577746570794233,5064777168047833088,2121021231
76,4649bc,9,57.08293170980771,8.51906256679226,5064785964140855296,2121021233
77,4649f3,10,56.78522092560439,8.226337351457039,5064846437280382976,21210213303
78,4649f5,10,56.69658230547431,8.198442090130042,5064848636303638528,21210213311
79,464a1,8,56.48759615992713,7.940278882355797,5064878323117588480,212102201
80,464a24,9,56.551087505701375,8.34692944510153,5064900313350144000,2121022021
81,464a2c,9,56.533691166828326,8.600788709078044,5064909109443166208,2121022023
82,464a34,9,56.357178512554206,8.543026880105408,5064917905536188416,2121022031
83,464a39,10,56.32602187070996,8.339791825808303,5064923403094327296,21210220321
84,464a3f,10,56.33446311164436,8.214031069484065,5064930000164093952,21210220333
85,464a41,10,56.24624018655778,8.18649293647122,5064932199187349504,21210221001
86,464a43,10,56.15809288648644,8.159106745775647,5064934398210605056,21210221003
87,464a47,10,56.23784430928154,8.311843895832283,5064938796257116160,21210221013
88,464a4c,9,56.18096237004687,8.485901687277904,5064944293815255040,2121022103
89,464a55,10,55.956830225144365,8.477594199132605,5064954189419905024,21210221111
90,464a57,10,55.965367116049926,8.353189898270962,5064956388443160576,21210221113
91,464a59,10,55.97376601125366,8.228919813657445,5064958587466416128,21210221121
92,464a5b,10,56.06171583068096,8.25640908865988,5064960786489671680,21210221123
93,464a5d,10,56.070021760517655,8.131871307766202,5064962985512927232,21210221131
94,464ab,8,55.43133615897428,7.628991793927161,5065054244978032640,212102223
95,464ac3,10,55.53518272115852,8.093707850485885,5065075135698960384,21210223003
96,464ad9,10,55.43130434341286,8.311025987339915,5065099324954771456,21210223121
97,464adf,10,55.51869586400354,8.33841145677596,5065105922024538112,21210223133
98,464ae5,10,55.702116219316586,8.27042294790595,5065112519094304768,21210223211
99,464ae7,10,55.61452192261159,8.243133683756652,5065114718117560320,21210223213
100,464aec,9,55.67062208833857,8.072498447749334,5065120215675699200,2121022323
101,464af1,10,55.798097927616766,8.174391617153724,5065125713233838080,21210223301
102,464af7,10,55.88589319715091,8.201581046079006,5065132310303604736,21210223313
103,464af9,10,55.87753935117552,8.325449889311482,5065134509326860288,21210223321
104,464afb,10,55.78978887324107,8.29786129643514,5065136708350115840,21210223323
105,464aff,10,55.86904822834111,8.449453035737562,5065141106396626944,21210223333
106,464b04,9,55.81222589602455,8.621393750065222,5065146603954765824,2121023001
107,464b1c,9,55.63710962923813,8.564531971549528,5065172992233832448,2121023013
108,464b23,10,55.50166951928004,8.583647686209467,5065180688815226880,21210230203
109,464b27,10,55.422904000824765,8.433187378854225,5065185086861737984,21210230213
110,464b2c,9,55.2878169864052,8.452642115201773,5065190584419876864,2121023023
111,464b34,9,55.27061571127393,8.696324245013075,5065199380512899072,2121023031
112,464b3c,9,55.44491868855869,8.753521470783689,5065208176605921280,2121023033
113,464b4c,9,55.25287602245701,8.940519791223892,5065225768791965696,2121023103
114,464b55,10,55.186521642323406,9.231397086768752,5065235664396615680,21210231111
115,464b57,10,55.273376421307006,9.261580610938283,5065237863419871232,21210231113
116,464b7,8,55.67942076584778,9.212837310057132,5065265351210565632,212102313
117,464b85,10,55.98068755433841,9.383169558498114,5065288440954748928,21210232011
